Número,Situação,Questão,Afetação,Tese,Publicação
1,Acórdão Publicado,"Conflito de competência entre a 1ª Vara da Fazenda Pública e a Vara de Execução Fiscal, ambas da capital. Definir a competência para julgamento da demanda que discute o fato gerador de tributo estadual, que ensejará provável lançamento e posterior crédito tributário, cuja obrigação inadimplida ensejará a formação da certidão de dívida ativa, que servirá para o ajuizamento da futura execução fiscal. Necessidade de haver (ou não) execução fiscal já em trâmite, considerando (ou não) apenas os embargos e as ações tributárias a elas conexas, a fim de ensejar a competência de julgamento da Vara de Execução Fiscal de Boa Vista.",16/06/2022,"A competência para processamento e julgamento de mandado de segurança, por meio do qual se pretenda afastar atos coatores de cobrança de débitos de diferencial de alíquota de ICMS, sem que previamente tenha sido ajuizada qualquer ação executiva fiscal, é das varas da fazenda pública.",28/07/2022
2,Acórdão Publicado,Definir se a complexidade da prova deverá ser considerada para fixação da competência dos Juizados Especiais da Fazenda Pública,01/06/2023,"A competência dos Juizados Especiais da Fazenda Pública, sendo absoluta, é fixada apenas pela matéria e pelo valor da causa, independentemente da complexidade da prova, ainda que seja necessária a realização de exame técnico ou perícia de qualquer espécie.",23/06/2023
3,Acórdão Publicado,Definir se a liberdade da parte de escolher entre Juizado Especial e Justiça Comum somente pode ser exercida no momento da distribuição da petição inicial.,15/06/2023,A liberdade da parte autora de escolher entre Juizado Especial e Justiça Comum somente pode ser exercida no momento da distribuição da petição inicial.,26/07/2023
4,Acórdão Publicado,"Definir se a contagem do prazo aplicável à prescrição executória da pena de multa, como dívida de valor, será regulada pelo Código Penal ou pelo Código Tributário Nacional",15/06/2023,"As alterações promovidas no art. 51, caput, do Código Penal, pela Lei n° 9.268/96 e pelo Pacote Anticrime (Lei n° 13.964/2019), não alteraram o caráter penal da sanção pecuniária, devendo a sua prescrição ser regulada pelos marcos temporais contidos no art. 114 do Código Penal",21/07/2023
5,Acórdão Publicado,Definir se a competência da vara de execução cível abrange todas as modalidades de execuções de títulos extrajudiciais ou apenas as relativas às obrigações de pagar quantia certa,06/07/2023,"Diante do disposto na primeira parte do parágrafo único do art. 40 do RITJRR, a competência das varas de execução cível da Comarca de Boa Vista - RR abrange todas as modalidades de títulos executivos extrajudiciais",25/07/2023
6,Acórdão Publicado,"Definir se, nos casos de litisconsórcio ativo facultativo em ações fazendárias, o valor da causa será determinado pelo montante global da demanda ou individual de cada autor.",07/07/2023,"“Em se tratando de litisconsórcio ativo facultativo, para que se fixe a competência do Juizado Especial da Fazenda Pública, deve ser considerado o valor de cada autor, individualmente, não importando se a soma ultrapassa o limite de 60 (sessenta) salários mínimos",25/07/2023
