Número;Situação;Questão;Afetação;Tese;Publicação
1;Trânsito em julgado;"Possibilidade, ou não, de formulação de pedidos genéricos em ações civis públicas.";30/11/2017;"Em ação coletiva, o pedido imediato deve ser certo, admitindo-se, excepcionalmente, a formulação de pedido mediato genérico (CPC, ART. 324).";29/07/2020
2;Cancelado;"A questão cinge-se em saber se, para a validade de contrato, quando qualquer das partes não souber ler e escrever, basta a assinatura a rogo acompanhada de duas testemunhas ou se a lei exige para a validade do negócio jurídico instrumento público ou outorga de procuração pública a terceiro para que possa assinar a seu rogo.";29/07/2021;;
3;Trânsito em julgado;"Possibilidade de concessão dos pedidos de restituição dos valores investidos, corrigidos monetariamente e, ainda, lucros cessantes, nos casos de anulação de contrato firmado com empresa investidora com atividade não regulamentada e autorizada pela Comissão de Valores Mobiliários.";09/11/2021;"É nulo o contrato de pirâmide financeira, em razão da ilicitude que reveste o seu objeto, devendo serem restituídos integralmente os valores desembolsados pelos contratantes, corrigidos monetariamente, sendo incabível, contudo, o pleito de lucros cessantes, uma vez que o contratante não tem o direito de exigir o cumprimento de negócio cujo objeto é ilícito.";22/07/2022
4;Admitido;"Definir se os valores retroativos a título de progressão se submetem ou não ao limite da prescrição quinquenal (Súmula 85 do STJ e Decreto federal nº 20.910/1932), quando não é negado o direito à progressão administrativamente.";14/07/2022;;
5;Admitido;"Legalidade dos contratos de cartão de crédito consignado, em especial no que diz respeito à existência de violação do dever de informação pelas instituições financeiras.";16/12/2022;;;
6;Proposto;O art. 2º, da Lei Estadual n. 1024/2016, que limita o ajuizamento de ações fiscais quando o valor do crédito for igual ou inferior a 40 (quarenta) Unidades Fiscais do Estado de Roraima é aplicável às execuções de multa penal?;;;
